year,haul_date,species,fmp_area,extrapolated_weight
2019,2019-05-22T08:00:00Z,307,GOA,8.16
2019,2019-05-24T08:00:00Z,307,GOA,NA
2019,2019-05-26T08:00:00Z,307,GOA,NA
2019,2019-05-26T08:00:00Z,307,GOA,11.92
2019,2019-05-26T08:00:00Z,307,GOA,29.18
2019,2019-05-27T08:00:00Z,307,GOA,43.77
2019,2019-04-21T08:00:00Z,307,GOA,NA
2019,2019-09-21T08:00:00Z,307,GOA,NA
2019,2019-09-21T08:00:00Z,307,GOA,147.75
2019,2019-09-22T08:00:00Z,307,GOA,NA
2019,2019-09-23T08:00:00Z,307,GOA,9.28
2019,2019-09-25T08:00:00Z,307,GOA,NA
2019,2019-06-04T08:00:00Z,307,GOA,8.72
2019,2019-06-04T08:00:00Z,307,GOA,23.4
2019,2019-06-05T08:00:00Z,307,GOA,NA
2019,2019-06-05T08:00:00Z,307,GOA,30.71
2019,2019-06-05T08:00:00Z,307,GOA,112.33
2019,2019-06-06T08:00:00Z,307,GOA,NA
2019,2019-06-06T08:00:00Z,307,GOA,5.74
2019,2019-10-08T08:00:00Z,307,GOA,NA
2019,2019-10-08T08:00:00Z,307,GOA,NA
2019,2019-10-08T08:00:00Z,307,GOA,NA
2019,2019-04-18T08:00:00Z,307,GOA,NA
2019,2019-04-19T08:00:00Z,307,GOA,NA
2019,2019-04-20T08:00:00Z,307,GOA,NA
2019,2019-04-20T08:00:00Z,307,GOA,NA
2019,2019-05-08T08:00:00Z,307,GOA,NA
2019,2019-06-13T08:00:00Z,307,GOA,4.72
2019,2019-06-13T08:00:00Z,307,GOA,25.04
2019,2019-06-13T08:00:00Z,307,GOA,19.35
2019,2019-05-28T08:00:00Z,307,GOA,35.64
2019,2019-05-28T08:00:00Z,307,GOA,36.01
2019,2019-05-29T08:00:00Z,307,GOA,12.58
2019,2019-05-29T08:00:00Z,307,GOA,72.77
2019,2019-05-16T08:00:00Z,307,GOA,NA
2019,2019-06-04T08:00:00Z,307,GOA,NA
2019,2019-06-05T08:00:00Z,307,GOA,NA
2019,2019-06-05T08:00:00Z,307,GOA,NA
2019,2019-06-06T08:00:00Z,307,GOA,NA
2019,2019-05-17T08:00:00Z,307,GOA,NA
2019,2019-05-21T08:00:00Z,307,GOA,2.32
2019,2019-05-21T08:00:00Z,307,GOA,4.88
2019,2019-06-04T08:00:00Z,307,GOA,NA
2019,2019-06-05T08:00:00Z,307,GOA,NA
2019,2019-06-05T08:00:00Z,307,GOA,NA
2019,2019-06-09T08:00:00Z,307,GOA,NA
2019,2019-06-10T08:00:00Z,307,GOA,57.79
2019,2019-06-10T08:00:00Z,307,GOA,NA
2019,2019-06-10T08:00:00Z,307,GOA,11.62
2019,2019-06-12T08:00:00Z,307,GOA,17.53
2019,2019-05-30T08:00:00Z,307,GOA,41.61
2019,2019-05-30T08:00:00Z,307,GOA,47.4
2019,2019-05-31T08:00:00Z,307,GOA,34.97
2019,2019-05-31T08:00:00Z,307,GOA,28.06
2019,2019-05-31T08:00:00Z,307,GOA,24.66
2019,2019-06-04T08:00:00Z,307,GOA,6.8
2019,2019-04-07T08:00:00Z,307,GOA,9.13
2019,2019-04-09T08:00:00Z,307,GOA,194.66
2019,2019-04-13T08:00:00Z,307,GOA,78.98
2019,2019-04-13T08:00:00Z,307,GOA,149.59
2019,2019-04-28T08:00:00Z,307,GOA,6.6
2019,2019-04-28T08:00:00Z,307,GOA,11.9
2019,2019-04-28T08:00:00Z,307,GOA,7.2
2019,2019-04-29T08:00:00Z,307,GOA,NA
2019,2019-04-29T08:00:00Z,307,GOA,NA
2019,2019-04-30T08:00:00Z,307,GOA,10.8
2019,2019-04-30T08:00:00Z,307,GOA,NA
2019,2019-11-02T08:00:00Z,307,GOA,NA
2019,2019-11-03T08:00:00Z,307,GOA,30.38
2019,2019-11-05T09:00:00Z,307,GOA,22.5
2019,2019-11-05T09:00:00Z,307,GOA,53.68
2019,2019-11-06T09:00:00Z,307,GOA,7.5
2019,2019-05-05T08:00:00Z,307,GOA,NA
2019,2019-05-05T08:00:00Z,307,GOA,NA
