Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 1.20051 12.3233 0.0399647 40.221
1 Model_1_goa_re_2019.dat 2021 1.1786 1.41606 1.1786 12.0812 0.0399647 39.6918
1 Model_1_goa_re_2019.dat 2022 1.16568 1.40052 1.16568 11.8658 0.0399647 39.1972
1 Model_1_goa_re_2019.dat 2023 1.13773 1.36695 1.13773 11.6814 0.0399647 38.7192
1 Model_1_goa_re_2019.dat 2024 1.12404 1.35052 1.12404 11.5112 0.0399647 38.3132
1 Model_1_goa_re_2019.dat 2025 1.12776 1.35501 1.12776 11.3784 0.0399647 37.8671
1 Model_1_goa_re_2019.dat 2026 1.15496 1.38761 1.15496 11.2588 0.0399647 37.4189
1 Model_1_goa_re_2019.dat 2027 1.12571 1.35248 1.12571 11.1339 0.0399647 36.9295
1 Model_1_goa_re_2019.dat 2028 1.0975 1.31861 1.0975 11.0028 0.0399647 36.4949
1 Model_1_goa_re_2019.dat 2029 1.07712 1.29412 1.07712 10.8643 0.0399647 36.1449
1 Model_1_goa_re_2019.dat 2030 1.0592 1.27259 1.0592 10.7292 0.0399647 35.797
1 Model_1_goa_re_2019.dat 2031 1.04062 1.25028 1.04062 10.6043 0.0399647 35.4687
1 Model_1_goa_re_2019.dat 2032 1.02906 1.23642 1.02906 10.4741 0.0399647 35.1426
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 1.20051 12.3233 0.0399647 40.0851
1 Model_1_goa_re_2019.dat 2021 1.17859 1.41605 1.17859 12.0812 0.0399647 39.4596
1 Model_1_goa_re_2019.dat 2022 1.16565 1.40048 1.16565 11.8658 0.0399647 38.8467
1 Model_1_goa_re_2019.dat 2023 1.13761 1.36681 1.13761 11.6814 0.0399647 38.2431
1 Model_1_goa_re_2019.dat 2024 1.12365 1.35006 1.12365 11.5109 0.0399647 37.6925
1 Model_1_goa_re_2019.dat 2025 1.1268 1.35385 1.1268 11.3776 0.0399647 37.1419
1 Model_1_goa_re_2019.dat 2026 1.15303 1.38529 1.15303 11.2569 0.0399647 36.5999
1 Model_1_goa_re_2019.dat 2027 1.12281 1.34899 1.12281 11.1286 0.0399647 35.99
1 Model_1_goa_re_2019.dat 2028 1.09426 1.3147 1.09426 10.9895 0.0399647 35.4156
1 Model_1_goa_re_2019.dat 2029 1.07389 1.29022 1.07389 10.8364 0.0399647 34.8567
1 Model_1_goa_re_2019.dat 2030 1.05565 1.26831 1.05565 10.6748 0.0399647 34.4069
1 Model_1_goa_re_2019.dat 2031 1.03467 1.24311 1.03467 10.5094 0.0399647 33.9978
1 Model_1_goa_re_2019.dat 2032 1.01308 1.21716 1.01308 10.324 0.0399647 33.6247
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 1.20051 12.3233 0.0399647 40.1982
1 Model_1_goa_re_2019.dat 2021 1.1786 1.41606 1.1786 12.0812 0.0399647 39.6661
1 Model_1_goa_re_2019.dat 2022 1.16568 1.40052 1.16568 11.8658 0.0399647 39.1689
1 Model_1_goa_re_2019.dat 2023 1.13771 1.36693 1.13771 11.6814 0.0399647 38.713
1 Model_1_goa_re_2019.dat 2024 1.12399 1.35046 1.12399 11.5111 0.0399647 38.2307
1 Model_1_goa_re_2019.dat 2025 1.12764 1.35487 1.12764 11.3783 0.0399647 37.7854
1 Model_1_goa_re_2019.dat 2026 1.15475 1.38736 1.15475 11.2586 0.0399647 37.3331
1 Model_1_goa_re_2019.dat 2027 1.12547 1.35219 1.12547 11.1333 0.0399647 36.8426
1 Model_1_goa_re_2019.dat 2028 1.09733 1.31839 1.09733 11.0011 0.0399647 36.4367
1 Model_1_goa_re_2019.dat 2029 1.07693 1.29389 1.07693 10.8612 0.0399647 36.0939
1 Model_1_goa_re_2019.dat 2030 1.05874 1.27203 1.05874 10.7237 0.0399647 35.8222
1 Model_1_goa_re_2019.dat 2031 1.03962 1.24907 1.03962 10.595 0.0399647 35.5835
1 Model_1_goa_re_2019.dat 2032 1.02694 1.23387 1.02694 10.4598 0.0399647 35.4304
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 1.20051 12.3233 0.0399647 40.1039
1 Model_1_goa_re_2019.dat 2021 1.17859 1.41605 1.17859 12.0812 0.0399647 39.5521
1 Model_1_goa_re_2019.dat 2022 1.16566 1.40049 1.16566 11.8658 0.0399647 39.0043
1 Model_1_goa_re_2019.dat 2023 1.13764 1.36685 1.13764 11.6814 0.0399647 38.5495
1 Model_1_goa_re_2019.dat 2024 1.12377 1.3502 1.12377 11.5109 0.0399647 38.1449
1 Model_1_goa_re_2019.dat 2025 1.12713 1.35424 1.12713 11.3779 0.0399647 37.7285
1 Model_1_goa_re_2019.dat 2026 1.15381 1.38623 1.15381 11.2575 0.0399647 37.3535
1 Model_1_goa_re_2019.dat 2027 1.12433 1.35081 1.12433 11.1304 0.0399647 36.9421
1 Model_1_goa_re_2019.dat 2028 1.09663 1.31756 1.09663 10.9942 0.0399647 36.5568
1 Model_1_goa_re_2019.dat 2029 1.07702 1.294 1.07702 10.8474 0.0399647 36.146
1 Model_1_goa_re_2019.dat 2030 1.05945 1.2729 1.05945 10.6983 0.0399647 35.7868
1 Model_1_goa_re_2019.dat 2031 1.03928 1.24867 1.03928 10.5557 0.0399647 35.4065
1 Model_1_goa_re_2019.dat 2032 1.02039 1.22597 1.02039 10.4057 0.0399647 35.0254
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 1.20051 12.3233 0.0399647 40.1021
1 Model_1_goa_re_2019.dat 2021 1.17859 1.41605 1.17859 12.0812 0.0399647 39.4666
1 Model_1_goa_re_2019.dat 2022 1.16565 1.40048 1.16565 11.8658 0.0399647 38.8634
1 Model_1_goa_re_2019.dat 2023 1.13762 1.36682 1.13762 11.6814 0.0399647 38.2154
1 Model_1_goa_re_2019.dat 2024 1.12368 1.35009 1.12368 11.5109 0.0399647 37.5725
1 Model_1_goa_re_2019.dat 2025 1.12685 1.35391 1.12685 11.3777 0.0399647 36.9578
1 Model_1_goa_re_2019.dat 2026 1.15309 1.38536 1.15309 11.2571 0.0399647 36.2985
1 Model_1_goa_re_2019.dat 2027 1.12275 1.34891 1.12275 11.129 0.0399647 35.6008
1 Model_1_goa_re_2019.dat 2028 1.09384 1.31418 1.09384 10.99 0.0399647 34.9923
1 Model_1_goa_re_2019.dat 2029 1.07289 1.28902 1.07289 10.8372 0.0399647 34.3778
1 Model_1_goa_re_2019.dat 2030 1.05397 1.26628 1.05397 10.6755 0.0399647 33.7884
