year,catch,catch_used,endyr_ratio,yield_ratio,catch_end_date
2018,795.0479558081,795.0479558081,1.0434218823757955,0.4778806150062119,2021-10-16
2019,790.4190267953,790.4190267953,1.0434218823757955,0.4778806150062119,2021-10-16
2020,398.41373107,398.41373107,1.0434218823757955,0.4778806150062119,2021-10-16
2021,424.88523771895865,443.3345545344032,1.0434218823757955,0.4778806150062119,2021-10-16
2022,NA,NA,1.0434218823757955,0.4778806150062119,2021-10-16
2023,NA,NA,1.0434218823757955,0.4778806150062119,2021-10-16
