Variable,Year,Maximum permissible F,Author's F (Estimated catches),Author's F (Fraction of F40%),Half maximum F,5-year average F,No fishing,Overfished,Approaching overfished
Spawning Biomass (t),2021,8677.849999999999,8677.849999999999,8677.849999999999,8677.849999999999,8677.849999999999,8677.849999999999,8677.849999999999,8677.849999999999
Spawning Biomass (t),2022,8557.560000000001,8628.39,8627.77,8624.779999999999,8600.5,8692.539999999999,8530.09,8557.560000000001
Spawning Biomass (t),2023,8362.14,8598.95,8595.62,8585.61,8504.38,8815.16,8272.04,8362.14
Spawning Biomass (t),2024,8169.790000000001,8495.33,8558.880000000001,8542.03,8405.92,8931.69,8021.699999999999,8143.72
Spawning Biomass (t),2025,7998.05,8310.68,8535.9,8512.39,8323.21,9060.92,7796.11,7912.38
Spawning Biomass (t),2026,7835.92,8135.08,8516.37,8486.35,8245.74,9192.869999999999,7583.84,7694.25
Spawning Biomass (t),2027,7675.11,7960.26,8491.949999999999,8455.59,8165.23,9318.82,7376.47,7480.91
Spawning Biomass (t),2028,7515.11,7785.9400000000005,8460.83,8418.33,8080.46,9435.37,7173.860000000001,7272.29
Spawning Biomass (t),2029,7357.84,7614.33,8424.67,8376.23,7993.24,9543.56,6977.85,7070.35
Spawning Biomass (t),2030,7205.84,7448.14,8385.99,8331.720000000001,7906.17,9645.47,6790.82,6877.54
Spawning Biomass (t),2031,7064.26,7292.7699999999995,8350.58,8290.41,7824.830000000001,9747.12,6617.59,6698.75
Spawning Biomass (t),2032,6927.990000000001,7142.75,8311.76,8245.78,7743.26,9839.67,6453.4000000000005,6529.0999999999995
Spawning Biomass (t),2033,6808.43,7009.86,8283.34,8211.05,7674.3499999999995,9939.019999999999,6308.7,6379.1500000000005
Spawning Biomass (t),2034,6706.0599999999995,6894.74,8266.39,8188.4,7618.99,10046.5,6183.61,6249.1
Fishing Mortality,2021,0.0202855,0.0202855,0.0202855,0.0202855,0.0202855,0.0202855,0.0202855,0.0202855
Fishing Mortality,2022,0.0381281,0.0180443,0.0182214,0.019064,0.0259344,0,0.0459618,0.0381281
Fishing Mortality,2023,0.0381281,0.0176978,0.0182214,0.019064,0.0259344,0,0.0459618,0.0381281
Fishing Mortality,2024,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2025,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2026,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2027,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2028,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2029,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2030,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2031,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2032,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2033,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2034,0.0381281,0.0381281,0.0182214,0.019064,0.0259344,0,0.0459618,0.0459618
Yield (t),2021,424.885,424.885,424.885,424.885,424.885,424.885,424.885,424.885
Yield (t),2022,786.814,376.003,379.661,397.05600000000004,538.3520000000001,0,944.8870000000001,786.814
Yield (t),2023,763.5849999999999,364.902,375.53999999999996,392.429,528.59,0,910.147,763.5849999999999
Yield (t),2024,747.428,776.4029999999999,374.37399999999997,390.907,523.227,0,884.52,897.606
Yield (t),2025,739.5260000000001,766.963,376.828,393.181,523.157,0,869.3140000000001,881.611
Yield (t),2026,739.8860000000001,765.8549999999999,383.05699999999996,399.40500000000003,528.5210000000001,0,864.368,875.919
Yield (t),2027,718.721,743.1999999999999,378.57099999999997,394.426,518.8399999999999,0,834.014,844.819
Yield (t),2028,698.5029999999999,721.557,374.113,389.47700000000003,509.40799999999996,0,805.315,815.414
Yield (t),2029,682.181,703.876,371.14300000000003,386.106,502.278,0,781.759,791.1899999999999
Yield (t),2030,668.176,688.5609999999999,368.937,383.575,496.406,0,761.396,770.19
Yield (t),2031,655.2860000000001,674.4069999999999,366.93399999999997,381.259,490.991,0,742.7479999999999,750.934
Yield (t),2032,644.591,662.5029999999999,365.688,379.749,486.802,0,727.071,734.681
Yield (t),2033,635.9200000000001,652.683,365.147,379.005,483.751,0,714.118,721.1840000000001
Yield (t),2034,629.0559999999999,644.7310000000001,365.232,378.69199999999995,481.717,0,703.591,710.1469999999999
