year,haul_date,species,fmp_area,extrapolated_weight
2016,2016-08-31T08:00:00Z,307,GOA,9454.46
2016,2016-08-31T08:00:00Z,307,GOA,19339.25
2016,2016-08-01T08:00:00Z,307,GOA,77.64
2016,2016-08-25T08:00:00Z,307,GOA,108.3
2016,2016-08-25T08:00:00Z,307,GOA,52.77
2016,2016-08-26T08:00:00Z,307,GOA,50.49
2016,2016-05-26T08:00:00Z,307,GOA,6.8
2016,2016-08-02T08:00:00Z,307,GOA,86.08
2016,2016-08-31T08:00:00Z,307,GOA,12876.72
2016,2016-08-31T08:00:00Z,307,GOA,10585.37
2016,2016-09-01T08:00:00Z,307,GOA,918.56
2016,2016-07-24T08:00:00Z,307,GOA,9.97
2016,2016-08-23T08:00:00Z,307,GOA,6843.63
2016,2016-08-23T08:00:00Z,307,GOA,387.57
2016,2016-07-22T08:00:00Z,307,GOA,684.85
2016,2016-07-25T08:00:00Z,307,GOA,7.34
2016,2016-08-24T08:00:00Z,307,GOA,2.97
2016,2016-08-24T08:00:00Z,307,GOA,4.44
2016,2016-08-24T08:00:00Z,307,GOA,209.64
2016,2016-11-15T09:00:00Z,307,GOA,20.88
2016,2016-11-16T09:00:00Z,307,GOA,14.06
2016,2016-07-29T08:00:00Z,307,GOA,26.31
2016,2016-07-11T08:00:00Z,307,GOA,647.53
2016,2016-07-14T08:00:00Z,307,GOA,223.83
2016,2016-07-14T08:00:00Z,307,GOA,392.09
2016,2016-07-16T08:00:00Z,307,GOA,115.54
2016,2016-07-16T08:00:00Z,307,GOA,311.76
2016,2016-07-18T08:00:00Z,307,GOA,42.65
2016,2016-11-17T09:00:00Z,307,GOA,2.36
2016,2016-11-17T09:00:00Z,307,GOA,1.28
2016,2016-07-19T08:00:00Z,307,GOA,1757.09
2016,2016-07-21T08:00:00Z,307,GOA,346.05
2016,2016-11-20T09:00:00Z,307,GOA,5.49
2016,2016-11-20T09:00:00Z,307,GOA,5.28
2016,2016-07-09T08:00:00Z,307,GOA,154.7
2016,2016-08-05T08:00:00Z,307,GOA,27.69
2016,2016-08-05T08:00:00Z,307,GOA,85.9
2016,2016-08-06T08:00:00Z,307,GOA,152.83
2016,2016-07-13T08:00:00Z,307,GOA,55.05
2016,2016-07-14T08:00:00Z,307,GOA,42.09
2016,2016-07-14T08:00:00Z,307,GOA,47.35
2016,2016-07-14T08:00:00Z,307,GOA,19.27
2016,2016-08-06T08:00:00Z,307,GOA,3.13
2016,2016-08-09T08:00:00Z,307,GOA,10.36
2016,2016-07-16T08:00:00Z,307,GOA,48.29
2016,2016-04-18T08:00:00Z,307,GOA,NA
2016,2016-04-18T08:00:00Z,307,GOA,NA
2016,2016-06-14T08:00:00Z,307,GOA,14.4
2016,2016-08-30T08:00:00Z,307,GOA,914.82
2016,2016-08-30T08:00:00Z,307,GOA,472.3
2016,2016-08-30T08:00:00Z,307,GOA,19.61
2016,2016-06-07T08:00:00Z,307,GOA,70.2
2016,2016-06-07T08:00:00Z,307,GOA,69.23
2016,2016-06-08T08:00:00Z,307,GOA,NA
2016,2016-08-28T08:00:00Z,307,GOA,1630.62
2016,2016-08-28T08:00:00Z,307,GOA,219.68
2016,2016-07-02T08:00:00Z,307,GOA,61.03
2016,2016-07-03T08:00:00Z,307,GOA,68.03
2016,2016-07-03T08:00:00Z,307,GOA,125.89
2016,2016-08-28T08:00:00Z,307,GOA,103.21
2016,2016-08-28T08:00:00Z,307,GOA,89.06
2016,2016-08-28T08:00:00Z,307,GOA,250.65
2016,2016-08-29T08:00:00Z,307,GOA,2560.51
2016,2016-08-29T08:00:00Z,307,GOA,812.57
2016,2016-08-29T08:00:00Z,307,GOA,228.09
2016,2016-07-04T08:00:00Z,307,GOA,202.92
2016,2016-07-04T08:00:00Z,307,GOA,455.56
2016,2016-07-05T08:00:00Z,307,GOA,56.14
2016,2016-05-09T08:00:00Z,307,GOA,NA
2016,2016-06-14T08:00:00Z,307,GOA,NA
