year,catch,catch_used,endyr_ratio,yield_ratio,catch_end_date
2019,790.4190267953,790.4190267953,1.042491346371698,0.46660352203968536,2022-10-15
2020,398.41373107,398.41373107,1.042491346371698,0.46660352203968536,2022-10-15
2021,407.2036871141,407.2036871141,1.042491346371698,0.46660352203968536,2022-10-15
2022,487.00151617248963,507.694866279717,1.042491346371698,0.46660352203968536,2022-10-15
2023,NA,361.6364,1.042491346371698,0.46660352203968536,2022-10-15
2024,NA,353.8124,1.042491346371698,0.46660352203968536,2022-10-15
