year,catch,catch_used,endyr_ratio,yield_ratio,catch_end_date
2017,552.8436191595,552.8436191595,1.0511813293835994,0.5069045237410118,2020-10-10
2018,795.0479558081,795.0479558081,1.0511813293835994,0.5069045237410118,2020-10-10
2019,790.4190267953,790.4190267953,1.0511813293835994,0.5069045237410118,2020-10-10
2020,418.80507547084244,440.24007598603885,1.0511813293835994,0.5069045237410118,2020-10-10
2021,NA,612.6397,1.0511813293835994,0.5069045237410118,2020-10-10
2022,NA,605.2541,1.0511813293835994,0.5069045237410118,2020-10-10
