year,haul_date,species,fmp_area,extrapolated_weight
2017,2017-09-05T08:00:00Z,307,GOA,18.9
2017,2017-09-06T08:00:00Z,307,GOA,NA
2017,2017-09-17T08:00:00Z,307,GOA,15.64
2017,2017-09-20T08:00:00Z,307,GOA,12.8
2017,2017-09-21T08:00:00Z,307,GOA,NA
2017,2017-09-22T08:00:00Z,307,GOA,NA
2017,2017-09-22T08:00:00Z,307,GOA,NA
2017,2017-03-01T09:00:00Z,307,GOA,969.55
2017,2017-04-08T08:00:00Z,307,GOA,30.33
2017,2017-08-15T08:00:00Z,307,GOA,31.05
2017,2017-08-16T08:00:00Z,307,GOA,6.3
2017,2017-08-16T08:00:00Z,307,GOA,2
2017,2017-08-17T08:00:00Z,307,GOA,NA
2017,2017-08-17T08:00:00Z,307,GOA,NA
2017,2017-08-17T08:00:00Z,307,GOA,NA
2017,2017-05-15T08:00:00Z,307,GOA,NA
2017,2017-03-05T09:00:00Z,307,GOA,114.1
2017,2017-03-05T09:00:00Z,307,GOA,3060.93
2017,2017-03-06T09:00:00Z,307,GOA,2366.58
2017,2017-03-06T09:00:00Z,307,GOA,1241.73
2017,2017-03-07T09:00:00Z,307,GOA,1357.64
2017,2017-03-07T09:00:00Z,307,GOA,644.81
2017,2017-03-18T08:00:00Z,307,GOA,876.41
2017,2017-03-19T08:00:00Z,307,GOA,48.09
2017,2017-10-02T08:00:00Z,307,GOA,108.96
2017,2017-02-06T09:00:00Z,307,GOA,515.97
2017,2017-02-07T09:00:00Z,307,GOA,157.24
2017,2017-02-07T09:00:00Z,307,GOA,151.86
2017,2017-02-08T09:00:00Z,307,GOA,49.69
2017,2017-02-08T09:00:00Z,307,GOA,177.05
2017,2017-04-01T08:00:00Z,307,GOA,36.25
2017,2017-04-08T08:00:00Z,307,GOA,14.41
2017,2017-03-24T08:00:00Z,307,GOA,NA
2017,2017-03-25T08:00:00Z,307,GOA,NA
2017,2017-03-25T08:00:00Z,307,GOA,14.35
2017,2017-03-26T08:00:00Z,307,GOA,NA
2017,2017-03-26T08:00:00Z,307,GOA,NA
2017,2017-03-27T08:00:00Z,307,GOA,38.15
2017,2017-07-14T08:00:00Z,307,GOA,1572.05
2017,2017-07-15T08:00:00Z,307,GOA,32.87
2017,2017-07-15T08:00:00Z,307,GOA,111.33
2017,2017-07-11T08:00:00Z,307,GOA,35.65
2017,2017-06-02T08:00:00Z,307,GOA,NA
2017,2017-04-16T08:00:00Z,307,GOA,8.4
2017,2017-04-17T08:00:00Z,307,GOA,NA
2017,2017-04-17T08:00:00Z,307,GOA,25.32
2017,2017-04-19T08:00:00Z,307,GOA,NA
2017,2017-04-21T08:00:00Z,307,GOA,16.83
2017,2017-04-21T08:00:00Z,307,GOA,143.42
2017,2017-04-22T08:00:00Z,307,GOA,NA
2017,2017-04-23T08:00:00Z,307,GOA,NA
2017,2017-04-24T08:00:00Z,307,GOA,2.4
2017,2017-04-24T08:00:00Z,307,GOA,NA
2017,2017-04-25T08:00:00Z,307,GOA,NA
2017,2017-04-26T08:00:00Z,307,GOA,10
2017,2017-04-27T08:00:00Z,307,GOA,9.94
2017,2017-04-27T08:00:00Z,307,GOA,NA
2017,2017-04-19T08:00:00Z,307,GOA,NA
2017,2017-04-19T08:00:00Z,307,GOA,NA
2017,2017-04-29T08:00:00Z,307,GOA,NA
2017,2017-04-29T08:00:00Z,307,GOA,7.8
2017,2017-04-15T08:00:00Z,307,GOA,19.75
2017,2017-04-16T08:00:00Z,307,GOA,21.78
2017,2017-04-16T08:00:00Z,307,GOA,65.21
2017,2017-07-28T08:00:00Z,307,GOA,617.29
2017,2017-07-29T08:00:00Z,307,GOA,622.67
2017,2017-07-29T08:00:00Z,307,GOA,1191.47
2017,2017-08-09T08:00:00Z,307,GOA,12.41
2017,2017-07-01T08:00:00Z,307,GOA,186.74
2017,2017-07-02T08:00:00Z,307,GOA,140.3
2017,2017-10-11T08:00:00Z,307,GOA,NA
2017,2017-07-14T08:00:00Z,307,GOA,2524.7
