Alt Stock Year ABC OFL Catch SSB F Total_Biom
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453034 0.94565438 0.487002 8.61655 0.023413 26.0373336
1 Model_1_goa_re_2021.dat 2023 0.775039782 0.930755112 0.361636 8.56137 0.0176151964 25.8438796
1 Model_1_goa_re_2021.dat 2024 0.773194954 0.928546982 0.353812 8.5315 0.0172727158 25.7869854
1 Model_1_goa_re_2021.dat 2025 0.779077128 0.935613334 0.779077128 8.4446701 0.0381281 25.7509396
1 Model_1_goa_re_2021.dat 2026 0.777371296 0.933536606 0.777371296 8.26423538 0.0381281 25.3016482
1 Model_1_goa_re_2021.dat 2027 0.754075582 0.905566092 0.754075582 8.08424052 0.0381281 24.8727516
1 Model_1_goa_re_2021.dat 2028 0.731817552 0.878845078 0.731817552 7.90445884 0.0381281 24.4896644
1 Model_1_goa_re_2021.dat 2029 0.713553818 0.85691783 0.713553818 7.72721848 0.0381281 24.1471368
1 Model_1_goa_re_2021.dat 2030 0.697685072 0.837864872 0.697685072 7.55533622 0.0381281 23.8407416
1 Model_1_goa_re_2021.dat 2031 0.682995654 0.820229092 0.682995654 7.39432968 0.0381281 23.5665826
1 Model_1_goa_re_2021.dat 2032 0.670572294 0.805313838 0.670572294 7.23867064 0.0381281 23.3240396
1 Model_1_goa_re_2021.dat 2033 0.660250986 0.792922146 0.660250986 7.10032696 0.0381281 23.1082406
1 Model_1_goa_re_2021.dat 2034 0.651819094 0.782799184 0.651819094 6.9797486 0.0381281 22.9142468
2 Model_1_goa_re_2021.dat 2021 0.373079 0.950818 0.407204 8.68089 0.0194333 26.1606
2 Model_1_goa_re_2021.dat 2022 0.371062728 0.94565438 0.487002 8.61655 0.023413 26.0373336
2 Model_1_goa_re_2021.dat 2023 0.365205368 0.930755112 0.361636 8.56137 0.0176151964 25.8438796
2 Model_1_goa_re_2021.dat 2024 0.36432857 0.928546982 0.353812 8.5315 0.0172727158 25.7869854
2 Model_1_goa_re_2021.dat 2025 0.367097854 0.935613334 0.367097854 8.51519296 0.0177906 25.7509396
2 Model_1_goa_re_2021.dat 2026 0.37336482 0.951478436 0.37336482 8.49984006 0.0177906 25.7135194
2 Model_1_goa_re_2021.dat 2027 0.36916563 0.940791498 0.36916563 8.47961214 0.0177906 25.681178
2 Model_1_goa_re_2021.dat 2028 0.36498631 0.930167342 0.36498631 8.45263998 0.0177906 25.6677188
2 Model_1_goa_re_2021.dat 2029 0.362252644 0.923217102 0.362252644 8.42055644 0.0177906 25.6686702
2 Model_1_goa_re_2021.dat 2030 0.360258974 0.918146478 0.360258974 8.38584684 0.0177906 25.6823054
2 Model_1_goa_re_2021.dat 2031 0.358457662 0.91356948 0.358457662 8.35426786 0.0177906 25.7065732
2 Model_1_goa_re_2021.dat 2032 0.357388274 0.910854878 0.357388274 8.31919902 0.0177906 25.7421344
2 Model_1_goa_re_2021.dat 2033 0.357000712 0.909875406 0.357000712 8.29438528 0.0177906 25.7859026
2 Model_1_goa_re_2021.dat 2034 0.357219652 0.910440876 0.357219652 8.2809099 0.0177906 25.8346174
3 Model_1_goa_re_2021.dat 2021 0.399539 0.950818 0.407204 8.68089 0.0194333 26.1606
3 Model_1_goa_re_2021.dat 2022 0.397378164 0.94565438 0.487002 8.61655 0.023413 26.0373336
3 Model_1_goa_re_2021.dat 2023 0.391106168 0.930755112 0.361636 8.56137 0.0176151964 25.8438796
3 Model_1_goa_re_2021.dat 2024 0.390167728 0.928546982 0.353812 8.5315 0.0172727158 25.7869854
3 Model_1_goa_re_2021.dat 2025 0.393133542 0.935613334 0.393133542 8.51076042 0.019064 25.7509396
3 Model_1_goa_re_2021.dat 2026 0.399366314 0.950344398 0.399366314 8.48488862 0.019064 25.6874892
3 Model_1_goa_re_2021.dat 2027 0.39440175 0.938544408 0.39440175 8.45428644 0.019064 25.6296172
3 Model_1_goa_re_2021.dat 2028 0.389482262 0.926863262 0.389482262 8.41720014 0.019064 25.5918998
3 Model_1_goa_re_2021.dat 2029 0.386133454 0.918910078 0.386133454 8.37532084 0.019064 25.5698706
3 Model_1_goa_re_2021.dat 2030 0.383597318 0.912884652 0.383597318 8.3311718 0.019064 25.5616704
3 Model_1_goa_re_2021.dat 2031 0.38128632 0.907398392 0.38128632 8.29051036 0.019064 25.5651768
3 Model_1_goa_re_2021.dat 2032 0.379777196 0.903817634 0.379777196 8.24680642 0.019064 25.5810068
3 Model_1_goa_re_2021.dat 2033 0.379015164 0.902012288 0.379015164 8.21370322 0.019064 25.6060034
3 Model_1_goa_re_2021.dat 2034 0.37891841 0.90178935 0.37891841 8.19225798 0.019064 25.636818
4 Model_1_goa_re_2021.dat 2021 0.541721 0.950818 0.407204 8.68089 0.0194333 26.1606
4 Model_1_goa_re_2021.dat 2022 0.538789054 0.94565438 0.487002 8.61655 0.023413 26.0373336
4 Model_1_goa_re_2021.dat 2023 0.530288774 0.930755112 0.361636 8.56137 0.0176151964 25.8438796
4 Model_1_goa_re_2021.dat 2024 0.529019972 0.928546982 0.353812 8.5315 0.0172727158 25.7869854
4 Model_1_goa_re_2021.dat 2025 0.533042464 0.935613334 0.533042464 8.48688086 0.0259344 25.7509396
4 Model_1_goa_re_2021.dat 2026 0.538005982 0.944250826 0.538005982 8.40468666 0.0259344 25.547616
4 Model_1_goa_re_2021.dat 2027 0.5278957 0.926517602 0.5278957 8.31898012 0.0259344 25.353636
4 Model_1_goa_re_2021.dat 2028 0.518045128 0.909248804 0.518045128 8.22860792 0.0259344 25.1876572
4 Model_1_goa_re_2021.dat 2029 0.51051093 0.89603807 0.51051093 8.1355481 0.0259344 25.0451024
4 Model_1_goa_re_2021.dat 2030 0.504245296 0.88504936 0.504245296 8.04249154 0.0259344 24.9233586
4 Model_1_goa_re_2021.dat 2031 0.49844277 0.874875868 0.49844277 7.95516654 0.0259344 24.8198006
4 Model_1_goa_re_2021.dat 2032 0.493874776 0.86686712 0.493874776 7.86748128 0.0259344 24.7347454
4 Model_1_goa_re_2021.dat 2033 0.490456464 0.860874296 0.490456464 7.79251176 0.0259344 24.664529
4 Model_1_goa_re_2021.dat 2034 0.488067244 0.856687188 0.488067244 7.73114144 0.0259344 24.6053502
5 Model_1_goa_re_2021.dat 2021 0 0.950818 0.407204 8.68089 0.0194333 26.1606
5 Model_1_goa_re_2021.dat 2022 0 0.94565438 0.487002 8.61655 0.023413 26.0373336
5 Model_1_goa_re_2021.dat 2023 0 0.930755112 0.361636 8.56137 0.0176151964 25.8438796
5 Model_1_goa_re_2021.dat 2024 0 0.928546982 0.353812 8.5315 0.0172727158 25.7869854
5 Model_1_goa_re_2021.dat 2025 0 0.935613334 0 8.57737928 0 25.7509396
5 Model_1_goa_re_2021.dat 2026 0 0.967470398 0 8.71153398 0 26.0805456
5 Model_1_goa_re_2021.dat 2027 0 0.972776064 0 8.84159484 0 26.4148942
5 Model_1_goa_re_2021.dat 2028 0 0.977637408 0 8.96398532 0 26.7566212
5 Model_1_goa_re_2021.dat 2029 0 0.985671392 0 9.07938574 0 27.100715
5 Model_1_goa_re_2021.dat 2030 0 0.995145642 0 9.18959706 0 27.4467248
5 Model_1_goa_re_2021.dat 2031 0 1.00469226 0 9.30020438 0 27.7932238
5 Model_1_goa_re_2021.dat 2032 0 1.01569512 0 9.40306738 0 28.141032
5 Model_1_goa_re_2021.dat 2033 0 1.02804988 0 9.51324334 0 28.4877592
5 Model_1_goa_re_2021.dat 2034 0 1.04158632 0 9.6320435 0 28.8307832
6 Model_1_goa_re_2021.dat 2021 0.950818 0.950818 0.407204 8.68089 0.0194333 26.1606
6 Model_1_goa_re_2021.dat 2022 0.94565438 0.94565438 0.94565438 8.53718 0.0459617 26.0373336
6 Model_1_goa_re_2021.dat 2023 0.910866612 0.910866612 0.910866612 8.27881 0.0459617 25.3855702
