Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 0.596948 12.4257 0.0196787 40.221
1 Model_1_goa_re_2019.dat 2021 1.20139 1.44344 0.586048 12.4246 0.019302 40.2953
1 Model_1_goa_re_2019.dat 2022 1.21051 1.45438 1.21051 12.3394 0.0399647 40.3815
1 Model_1_goa_re_2019.dat 2023 1.18 1.41773 1.18 12.1368 0.0399647 39.8349
1 Model_1_goa_re_2019.dat 2024 1.16386 1.39836 1.16386 11.9465 0.0399647 39.3626
1 Model_1_goa_re_2019.dat 2025 1.1653 1.4001 1.1653 11.7935 0.0399647 38.8526
1 Model_1_goa_re_2019.dat 2026 1.19038 1.43016 1.19038 11.6531 0.0399647 38.3432
1 Model_1_goa_re_2019.dat 2027 1.15893 1.39239 1.15893 11.5072 0.0399647 37.7952
1 Model_1_goa_re_2019.dat 2028 1.12862 1.35599 1.12862 11.355 0.0399647 37.3047
1 Model_1_goa_re_2019.dat 2029 1.10622 1.32908 1.10622 11.1956 0.0399647 36.9017
1 Model_1_goa_re_2019.dat 2030 1.08638 1.30525 1.08638 11.0401 0.0399647 36.5036
1 Model_1_goa_re_2019.dat 2031 1.06598 1.28075 1.06598 10.8951 0.0399647 36.1279
1 Model_1_goa_re_2019.dat 2032 1.05271 1.26483 1.05271 10.7457 0.0399647 35.7571
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 0.596948 12.4257 0.0196788 40.0851
1 Model_1_goa_re_2019.dat 2021 1.20139 1.44343 0.586048 12.4246 0.0193021 40.0631
1 Model_1_goa_re_2019.dat 2022 1.21048 1.45433 1.21048 12.3394 0.0399647 40.0309
1 Model_1_goa_re_2019.dat 2023 1.17987 1.41758 1.17987 12.1368 0.0399647 39.3587
1 Model_1_goa_re_2019.dat 2024 1.16348 1.3979 1.16348 11.9462 0.0399647 38.7419
1 Model_1_goa_re_2019.dat 2025 1.16434 1.39894 1.16434 11.7927 0.0399647 38.1275
1 Model_1_goa_re_2019.dat 2026 1.18845 1.42784 1.18845 11.6513 0.0399647 37.5242
1 Model_1_goa_re_2019.dat 2027 1.15603 1.3889 1.15603 11.502 0.0399647 36.8556
1 Model_1_goa_re_2019.dat 2028 1.12538 1.35208 1.12538 11.3416 0.0399647 36.2254
1 Model_1_goa_re_2019.dat 2029 1.10299 1.32519 1.10299 11.1677 0.0399647 35.6135
1 Model_1_goa_re_2019.dat 2030 1.08283 1.30097 1.08283 10.9857 0.0399647 35.1135
1 Model_1_goa_re_2019.dat 2031 1.06004 1.27358 1.06004 10.8002 0.0399647 34.6569
1 Model_1_goa_re_2019.dat 2032 1.03673 1.24557 1.03673 10.5956 0.0399647 34.2393
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 0.596948 12.4257 0.0196787 40.1982
1 Model_1_goa_re_2019.dat 2021 1.20139 1.44344 0.586048 12.4246 0.019302 40.2696
1 Model_1_goa_re_2019.dat 2022 1.21051 1.45437 1.21051 12.3394 0.0399647 40.3532
1 Model_1_goa_re_2019.dat 2023 1.17998 1.41771 1.17998 12.1368 0.0399647 39.8287
1 Model_1_goa_re_2019.dat 2024 1.16381 1.3983 1.16381 11.9465 0.0399647 39.28
1 Model_1_goa_re_2019.dat 2025 1.16518 1.39996 1.16518 11.7934 0.0399647 38.771
1 Model_1_goa_re_2019.dat 2026 1.19017 1.42992 1.19017 11.6529 0.0399647 38.2574
1 Model_1_goa_re_2019.dat 2027 1.15869 1.3921 1.15869 11.5066 0.0399647 37.7082
1 Model_1_goa_re_2019.dat 2028 1.12844 1.35577 1.12844 11.3533 0.0399647 37.2465
1 Model_1_goa_re_2019.dat 2029 1.10603 1.32885 1.10603 11.1925 0.0399647 36.8506
1 Model_1_goa_re_2019.dat 2030 1.08592 1.30469 1.08592 11.0345 0.0399647 36.5287
1 Model_1_goa_re_2019.dat 2031 1.06498 1.27954 1.06498 10.8858 0.0399647 36.2427
1 Model_1_goa_re_2019.dat 2032 1.05059 1.26228 1.05059 10.7314 0.0399647 36.0449
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.803114 12.4748 0.0262862 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20051 1.44238 0.596948 12.4257 0.0196788 40.1039
1 Model_1_goa_re_2019.dat 2021 1.20139 1.44344 0.586048 12.4246 0.0193021 40.1555
1 Model_1_goa_re_2019.dat 2022 1.21049 1.45434 1.21049 12.3394 0.0399647 40.1886
1 Model_1_goa_re_2019.dat 2023 1.17991 1.41762 1.17991 12.1368 0.0399647 39.6652
1 Model_1_goa_re_2019.dat 2024 1.16359 1.39804 1.16359 11.9462 0.0399647 39.1942
1 Model_1_goa_re_2019.dat 2025 1.16466 1.39934 1.16466 11.7929 0.0399647 38.714
